Final Fight vs The King Of Fighters - Episode 1;openbor
King of Fighters '94, The (World);neocdz
King of Fighters '95, The (Europe);saturn
King of Fighters '95, The (USA);gb
King of Fighters '95, The (USA);sgb
King of Fighters '95, The (USA);psx
King of Fighters '95, The (World);neocdz
King of Fighters '96, The (World);neocdz
King of Fighters '97, The (Japan);saturn-japan
King of Fighters '97, The (World);neocdz
King of Fighters '98 Ultimate Match, The (USA);ps2
King of Fighters '98, The - The Slugfest (World);neocdz
King of Fighters '99, The (USA);psx
King of Fighters '99, The - Millennium Battle (World);neocdz
King of Fighters 2000, The (Japan);dreamcast
King of Fighters 2001, The (Japan);dreamcast
King of Fighters 2002, The (Japan);dreamcast
King of Fighters 2006, The (USA);ps2
King of Fighters Collection - The Orochi Saga, The (USA);ps2
King of Fighters Collection, The - The Orochi Saga (USA);psp
King of Fighters EX, The - NeoBlood (USA) (Rev 1);gba
King of Fighters EX2, The - Howling Blood (USA);gba
King of Fighters R-1 (Japan, Europe);ngp
King of Fighters R-2 (World) (En,Ja);ngpc
King of Fighters XI, The (USA);ps2
King of Fighters, The - Dream Match 1999 (USA);dreamcast
King of Fighters, The - Evolution (USA);dreamcast
King of Fighters, The - Heat of Battle (Europe);gb
King of Fighters, The - Heat of Battle (Europe);sgb
The King of Fighters '98 (Hack);genh
fatfury1;arcade
fatfury1;fba
fatfury1;mame-advmame
fatfury1;mame-libretro
fatfury1;mame-mame4all
kf10thep;arcade
kf10thep;fba
kf10thep;mame-advmame
kf10thep;mame-libretro
kf10thep;mame-mame4all
kf2k2mp2;arcade
kf2k2mp2;fba
kf2k2mp2;mame-advmame
kf2k2mp2;mame-libretro
kf2k2mp2;mame-mame4all
kf2k2mp;arcade
kf2k2mp;fba
kf2k2mp;mame-advmame
kf2k2mp;mame-libretro
kf2k2mp;mame-mame4all
kf2k2pla;arcade
kf2k2pla;fba
kf2k2pla;mame-advmame
kf2k2pla;mame-libretro
kf2k2pla;mame-mame4all
kf2k2pls;arcade
kf2k2pls;fba
kf2k2pls;mame-advmame
kf2k2pls;mame-libretro
kf2k2pls;mame-mame4all
kf2k3bl;arcade
kf2k3bl;fba
kf2k3bl;mame-advmame
kf2k3bl;mame-libretro
kf2k3bl;mame-mame4all
kf2k3bla;arcade
kf2k3bla;fba
kf2k3bla;mame-advmame
kf2k3bla;mame-libretro
kf2k3bla;mame-mame4all
kf2k3pcb;arcade
kf2k3pcb;fba
kf2k3pcb;mame-advmame
kf2k3pcb;mame-libretro
kf2k3pcb;mame-mame4all
kf2k3pl;arcade
kf2k3pl;fba
kf2k3pl;mame-advmame
kf2k3pl;mame-libretro
kf2k3pl;mame-mame4all
kf2k3upl;arcade
kf2k3upl;fba
kf2k3upl;mame-advmame
kf2k3upl;mame-libretro
kf2k3upl;mame-mame4all
kf2k5uni;arcade
kf2k5uni;fba
kf2k5uni;mame-advmame
kf2k5uni;mame-libretro
kf2k5uni;mame-mame4all
kof10th;arcade
kof10th;fba
kof10th;mame-advmame
kof10th;mame-libretro
kof10th;mame-mame4all
kof2000;neogeo
kof2000;arcade
kof2000;fba
kof2000;mame-advmame
kof2000;mame-libretro
kof2000;mame-mame4all
kof2000n;arcade
kof2000n;fba
kof2000n;mame-advmame
kof2000n;mame-libretro
kof2000n;mame-mame4all
kof2001;neogeo
kof2001;arcade
kof2001;fba
kof2001;mame-advmame
kof2001;mame-libretro
kof2001;mame-mame4all
kof2001h;arcade
kof2001h;fba
kof2001h;mame-advmame
kof2001h;mame-libretro
kof2001h;mame-mame4all
kof2002;neogeo
kof2002;arcade
kof2002;fba
kof2002;mame-advmame
kof2002;mame-libretro
kof2002;mame-mame4all
kof2002b;arcade
kof2002b;fba
kof2002b;mame-advmame
kof2002b;mame-libretro
kof2002b;mame-mame4all
kof2003;neogeo
kof2003;arcade
kof2003;fba
kof2003;mame-advmame
kof2003;mame-libretro
kof2003;mame-mame4all
kof2003h;arcade
kof2003h;fba
kof2003h;mame-advmame
kof2003h;mame-libretro
kof2003h;mame-mame4all
kof2k4se;arcade
kof2k4se;fba
kof2k4se;mame-advmame
kof2k4se;mame-libretro
kof2k4se;mame-mame4all
kof94;neogeo
kof94;arcade
kof94;fba
kof94;mame-advmame
kof94;mame-libretro
kof94;mame-mame4all
kof95;neogeo
kof95;arcade
kof95;fba
kof95;mame-advmame
kof95;mame-libretro
kof95;mame-mame4all
kof95a;arcade
kof95a;fba
kof95a;mame-advmame
kof95a;mame-libretro
kof95a;mame-mame4all
kof95h;arcade
kof95h;fba
kof95h;mame-advmame
kof95h;mame-libretro
kof95h;mame-mame4all
kof96;neogeo
kof96;arcade
kof96;fba
kof96;mame-advmame
kof96;mame-libretro
kof96;mame-mame4all
kof96h;arcade
kof96h;fba
kof96h;mame-advmame
kof96h;mame-libretro
kof96h;mame-mame4all
kof97;neogeo
kof97;arcade
kof97;fba
kof97;mame-advmame
kof97;mame-libretro
kof97;mame-mame4all
kof97h;arcade
kof97h;fba
kof97h;mame-advmame
kof97h;mame-libretro
kof97h;mame-mame4all
kof97k;arcade
kof97k;fba
kof97k;mame-advmame
kof97k;mame-libretro
kof97k;mame-mame4all
kof97oro;arcade
kof97oro;fba
kof97oro;mame-advmame
kof97oro;mame-libretro
kof97oro;mame-mame4all
kof97pls;arcade
kof97pls;fba
kof97pls;mame-advmame
kof97pls;mame-libretro
kof97pls;mame-mame4all
kof98;neogeo
kof98;arcade
kof98;fba
kof98;mame-advmame
kof98;mame-libretro
kof98;mame-mame4all
kof98a;arcade
kof98a;fba
kof98a;mame-advmame
kof98a;mame-libretro
kof98a;mame-mame4all
kof98h;arcade
kof98h;fba
kof98h;mame-advmame
kof98h;mame-libretro
kof98h;mame-mame4all
kof98k;arcade
kof98k;fba
kof98k;mame-advmame
kof98k;mame-libretro
kof98k;mame-mame4all
kof98ka;arcade
kof98ka;fba
kof98ka;mame-advmame
kof98ka;mame-libretro
kof98ka;mame-mame4all
kof99;neogeo
kof99;arcade
kof99;fba
kof99;mame-advmame
kof99;mame-libretro
kof99;mame-mame4all
kof99e;arcade
kof99e;fba
kof99e;mame-advmame
kof99e;mame-libretro
kof99e;mame-mame4all
kof99h;arcade
kof99h;fba
kof99h;mame-advmame
kof99h;mame-libretro
kof99h;mame-mame4all
kof99k;arcade
kof99k;fba
kof99k;mame-advmame
kof99k;mame-libretro
kof99k;mame-mame4all
kof99p;arcade
kof99p;fba
kof99p;mame-advmame
kof99p;mame-libretro
kof99p;mame-mame4all
kofnw;atomiswave
kofnw;arcade
kofnw;fba
kofnw;mame-advmame
kofnw;mame-libretro
kofnw;mame-mame4all
kofnwj;atomiswave
kofnwj;arcade
kofnwj;fba
kofnwj;mame-advmame
kofnwj;mame-libretro
kofnwj;mame-mame4all
kofxi;atomiswave
kofxi;arcade
kofxi;fba
kofxi;mame-advmame
kofxi;mame-libretro
kofxi;mame-mame4all
