Naruto - Konoha Ninpouchou (Japan);wonderswancolor
Naruto Powerful Shippuden (USA);3ds
Naruto Shippuden 3D - The New Era (Europe);3ds
Naruto - Ninja Council 2 - European Version (Europe) (En,Fr,De,Es,It) [b];nds
Naruto - Ninja Council 3 (USA);nds
Naruto - Ninja Destiny (USA) (En,Fr);nds
Naruto - Path of the Ninja (USA);nds
Naruto - Path of the Ninja 2 (USA) (En,Fr) [b];nds
Naruto Shippuden - Naruto vs Sasuke (USA);nds
Naruto Shippuden - Ninja Council 4 (USA) (En,Fr,Es) [b];nds
Naruto Shippuden - Ninja Destiny 2 (USA) [b];nds
Naruto Shippuden - Shinobi Rumble!! (USA);nds
Naruto - Ninja Council (USA);gba
Naruto - Ninja Council 2 (USA);gba
Naruto - Clash of Ninja (USA);gc
Naruto - Clash of Ninja 2 (USA);gc
Naruto - Gekitou Ninja Taisen! 3 (Japan);gc
Naruto - Gekitou Ninja Taisen! 4 (Japan);gc
Naruto - Clash of Ninja (USA);wii
Naruto - Ultimate Ninja (USA);ps2
Naruto - Ultimate Ninja 2 (USA);ps2
Naruto - Ultimate Ninja 3 (USA);ps2
Naruto - Uzumaki Chronicles (USA);ps2
Naruto - Uzumaki Chronicles 2 (USA);ps2
Naruto Shippuden - Ultimate Ninja 4 (USA);ps2
Naruto Shippuden - Ultimate Ninja 5 (Europe);ps2
Naruto - Ultimate Ninja Heroes (USA);psp
Naruto - Ultimate Ninja Heroes 2 - The Phantom Fortress (USA);psp
Naruto Shippuden - Kizuna Drive (USA);psp
Naruto Shippuden - Legends - Akatsuki Rising (USA);psp
Naruto Shippuden - Ultimate Ninja Heroes 3 (USA);psp
Naruto Shippuden - Ultimate Ninja Impact (USA);psp
