Wolverine (R);dendy
X-Men Origins - Wolverine (USA) (En,Fr) [b];nds
Wolverine (USA);nes
2 in 1 Game Pack - Spider-Man - Mysterio's Menace + X2 - Wolverine's Revenge (USA, Europe);gba
X2 - Wolverine's Revenge (USA, Europe);gba
X-Men - Wolverine's Rage (USA);gbc
X2 - Wolverine's Revenge (USA);gc
Streets of Rage 2 - Wolverine (Hack);genh
Wolverine - Adamantium Rage (USA, Europe);genesis
X-Men Origins - Wolverine (USA);ps2
X2 - Wolverine's Revenge (USA);ps2
X-Men Origins - Wolverine (USA);psp
Wolverine - Adamantium Rage (USA);snes
