Yu-Gi-Oh! Zexal - World Duel Carnival (Europe);3ds
Yu-Gi-Oh! - Nightmare Troubadour (USA);nds
Yu-Gi-Oh! - World Championship 2007 (USA) (En,Ja);nds
Yu-Gi-Oh! - World Championship 2008 (USA) (En,Ja);nds
Yu-Gi-Oh! 5D's - Stardust Accelerator - World Championship 2009 (USA) (En,Ja,Fr,De,Es,It) [b];nds
Yu-Gi-Oh! 5D's - World Championship 2010 - Reverse of Arcadia (USA) (En,Ja,Fr,De,Es,It);nds
Yu-Gi-Oh! 5D's - World Championship 2011 - Over the Nexus (USA) (En,Ja,Fr,De,Es,It);nds
Yu-Gi-Oh! GX - Card Almanac (Europe) (En,Fr,De,Es,It);nds
Yu-Gi-Oh! GX - Spirit Caller (USA);nds
Game Boy Advance Video - Yu-Gi-Oh! - Yugi vs. Joey (USA, Europe);gba
Yu-Gi-Oh! - 7 Trials to Glory - World Championship Tournament 2005 (USA) (En,Ja,Fr,De,Es,It);gba
Yu-Gi-Oh! - Destiny Board Traveler (USA);gba
Yu-Gi-Oh! - Dungeon Dice Monsters (USA) (En,Es);gba
Yu-Gi-Oh! - Reshef of Destruction (USA);gba
Yu-Gi-Oh! - The Eternal Duelist Soul (USA);gba
Yu-Gi-Oh! - The Sacred Cards (USA);gba
Yu-Gi-Oh! - Ultimate Masters - World Championship Tournament 2006 (USA) (En,Ja,Fr,De,Es,It);gba
Yu-Gi-Oh! - World Championship Tournament 2004 (USA) (En,Ja,Fr,De,Es,It);gba
Yu-Gi-Oh! - Worldwide Edition - Stairway to the Destined Duel (USA) (En,Ja,Fr,De,Es,It);gba
Yu-Gi-Oh! Double Pack (USA);gba
Yu-Gi-Oh! Double Pack 2 (USA) (En,Fr,De,Es,It);gba
Yu-Gi-Oh! GX - Duel Academy (USA);gba
Yu-Gi-Oh! - Dark Duel Stories (USA);gbc
Yu-Gi-Oh! - The Falsebound Kingdom (USA);gc
Yu-Gi-Oh! Capsule Monster Coliseum (USA);ps2
Yu-Gi-Oh! GX - The Beginning of Destiny (USA);ps2
Yu-Gi-Oh! The Duelists of the Roses (USA);ps2
Yu-Gi-Oh! Forbidden Memories (USA);psx
Yu-Gi-Oh! 5D's - Tag Force 6 (Japan) (Translated Menus En);psp-japan
Yu-Gi-Oh! ARC-V Tag Force Special (Japan) (Translated Menus En);psp-japan
Yu-Gi-Oh! 5D's - Tag Force 4 (USA);psp
Yu-Gi-Oh! 5D's - Tag Force 5 (USA);psp
Yu-Gi-Oh! 5D's - Tag Force 6 (Japan) (Translated Menus En);psp
Yu-Gi-Oh! ARC-V Tag Force Special (Japan) (Translated Menus En);psp
Yu-Gi-Oh! GX - Tag Force (USA);psp
Yu-Gi-Oh! GX - Tag Force 2 (USA);psp
Yu-Gi-Oh! GX - Tag Force 3 (Europe);psp
