Hello Kitty World (R);dendy
Hello Kitty & Friends - Rock n' World Tour (Europe);3ds
Hello Kitty Happy Happy Family (Europe);3ds
Hello Kitty Picnic with Sanrio Friends (USA);3ds
Hello Kitty and Sanrio Friends 3D Racing (USA);3ds
Hello Kitty and the Apron of Magic - Rhythm Cooking (Europe);3ds
Travel Adventures with Hello Kitty (USA);3ds
Hello Kitty - Big City Dreams (USA) (En,Fr,Es) [b];nds
Hello Kitty - Birthday Adventures (USA) (En,Fr,De,Es,It);nds
Hello Kitty - Daily (USA) [b];nds
Hello Kitty - Party (USA) (En,Fr,De,Es,It,Nl);nds
Loving Life with Hello Kitty & Friends (Europe) (En,Fr,De,Es,It,Nl);nds
Hello Kitty World (Japan) (Translated En);famicom
Hello Kitty no Ohanabatake (Japan) (Translated En);famicom
Hello Kitty - Happy Party Pals (USA);gba
Hello Kitty's Cube Frenzy (USA);gbc
Hello Kitty - Roller Rescue (USA);gc
Hello Kitty Kruisers (USA);wiiu
Hello Kitty Asobi no Mochabako (Japan);3do
Hello Kitty - Roller Rescue (Europe);ps2
Hello Kitty - Cube Frenzy (USA);psx
Hello Kitty to Issho! Block Crash 123!! (Japan);psp-japan
Hello Kitty - Puzzle Party (Europe);psp
Hello Kitty to Issho! Block Crash 123!! (Japan);psp
Hello Kitty's Maze;tic80
