Scooby-Doo! & Looney Tunes Cartoon Universe - Adventure (USA);3ds
Looney Tunes - Cartoon Conductor (USA) (En,Fr,De,Es,It);nds
Looney Tunes - Duck Amuck (USA);nds
Looney Tunes - Back in Action (USA, Europe) (En,Fr,De,Es,It);gba
Looney Tunes Double Pack (USA);gba
Looney Tunes (USA);gbc
Looney Tunes - Carrot Crazy (USA);gbc
Looney Tunes - Twouble! (USA);gbc
Looney Tunes Collector - Alert! (USA);gbc
Looney Tunes Racing (USA);gbc
Looney Tunes (USA, Europe);gb
Looney Tunes - Back in Action (USA);gc
Looney Tunes - Space Race (USA);dreamcast
Looney Tunes - Acme Arsenal (USA);ps2
Looney Tunes - Back in Action (USA);ps2
Looney Tunes - Space Race (USA);ps2
Looney Tunes - Sheep Raider (USA);psx
Looney Tunes Racing (USA);psx
Looney Tunes B-Ball (USA);snes
